Apodization filter applied?	yes
Image centred and padded?	yes
Linear number of pixels in the zero-padded real-space image	2000
Parseval's theorem fulfilled?	
Pixel size object domain, nm	426
Background subtracted?	yes
Pixel size Fourier domain, 1/nm	5750768843441.485
Pixel size object domain from padded Fourier data, 1/nm	546.2908941597697
